Class	Class Name	Description	Career	Offered	Enrollment Requirement	Grading Basis	Course Components	Equivalent To
CSC 101	 Introduction to Computer Science (3 units)	This course introduces students to some of the big ideas in computer science. It will excite students about the application of computer science to various disciplines, and show the social impact possible through the use of technology in developing regions, politics, medicine, and other fields.	Undergraduate	 Fall, Spring	Enrollment in this course is not open to Computer Science majors.	Regular Grades	Lecture        Required	None
CSC 110	 Introduction to Computer Programming I (4 units)	An introduction to programming with an emphasis on solving problems drawn from a variety of domains. Topics include basic control and data structures, problem solving strategies, and software development tools and techniques.	Undergraduate	 Fall, Spring, Summer	PPL 60+ or SAT I MSS 640+ or ACT MATH 26+ or (C or higher in [CSC 101 or MATH 112 or MATH 108]) or one courses from MATH 113, 116, 120R, 122A, 122B, or 125. Test scores expire after 2 years.	Regular Grades	Lecture        Required	None
CSC 120	 Introduction to Computer Programming II (4 units)	Provides a continuing introduction to programming with an emphasis on problem- solving. It considers problems drawn from a variety of domains (including Computer Science) and emphasizes both the broader applicability of the relevant data structures and programming concepts, as well as the implementation of those structures and concepts in software. Topics include arrays, lists, stacks, queues, trees, searching and sorting, and exceptions.	Undergraduate	 Fall, Spring, Summer	C or higher in (CSC 110 or CSC 127A or ISTA 130 or ECE 175) or prior programming experience with Python or comparable programming language with department approval.	Regular Grades	Lecture        Required	None
CSC 144	 Discrete Mathematics for Computer Science I (3 units)	The first of a two-course sequence introducing mathematical concepts for Computer Science. Topics include: sets, functions, and relations; propositional and predicate logic; foundational combinatorics; discrete probability; modular arithmetic; and proofs.	Undergraduate	 Fall, Spring, Summer	[C or higher in(CSC 110 or ISTA 130 or ECE 175) or prior prog. lang. experience w/dept. approval] AND [PPL 60+ or SAT I MSS 640+ or ACT MATH 26+ or(C or higher in MATH 108 or 112)or 1 from MATH 113,116,120R,122A,122B,or125. Test scores exp. after 2 yrs]	Regular Grades	Lecture        Required	None
CSC 199	 Independent Study (1 - 3 units)	Qualified students working on an individual basis with professors who have agreed to supervise such work.	Undergraduate	 Fall, Spring	None	Alternative Grading: S, P, F	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 199H	 Honors Independent Study (1 - 3 units)	Qualified students working on an individual basis with professors who have agreed to supervise such work.	Undergraduate	 Fall, Spring	Student must be active in the Honors College.	Regular Grades	Independent Study   Required Repeatable: Course can be repeated a maximum of 99 times. Course typically offered:	None
CSC 210	 Software Development (4 units)	An introduction to the development of large- scale software. Topics include modularization, design patterns, documentation, unit testing, source code control, build systems, debuggers, and performance tuning; all of the tools necessary for developing software as opposed to writing small programs.	Undergraduate	 Fall, Spring, Summer	C or higher in CSC 120.	Regular Grades	Lecture        Required	None
CSC 244	 Discrete Mathematics for Computer Science II (3 units)	A second course in mathematical concepts for computer science. Topics include: recurrence relations; proofs in propositional and first-order predicate logic; mathematical induction; graphs and trees; regular expressions and finite state machines.	Undergraduate	 Fall, Spring, Summer	C or better in CSC 120 and [C or better in CSC 144 or MATH 243 or MATH 323].	Regular Grades	Lecture        Required	None
CSC 245	 Introduction to Discrete Structures (3 units)	An introduction to mathematical concepts for Computer Science. Topics include first-order logic and logical arguments, proof techniques with an emphasis on mathematical induction, sets, relations and functions, properties of integers, counting methods, probability, and recurrences. Weekly laboratory.	Undergraduate	 Fall, Spring, Summer	Student must have earned a C grade or higher in (CSC 120 or CSC 127B or CSC 227).	Regular Grades	Lecture        Required	None
CSC 250	 Essential Computing for the Sciences (3 units)	This course teaches essential computing skills for students in scientific disciplines. No prior background in programming is required. The content focuses on three computational skills: (i) basic programming in a scripting language such as Python, and knowledge of its supported data structures; (ii) facility with the UNIX operating system environment, including file structure, regular expressions, and job control; (iii) essential database skills, including database accession and interfacing through the SQL query language.	Undergraduate	 Spring	Enrollment in this course is not open to Computer Science majors.	Regular Grades	Lecture        Required	None
CSC 252	 Computer Organization (3 units)	Basic machine organization; elementary hardware concepts; CPU internals. Machine operations and instructions; assembly language concepts and programming.	Undergraduate	 Fall, Spring	CSC 210 or CSC 127B.	Regular Grades	Discussion       May Be Offered	None
